Date,Amount
"Jul 31, 2024",53560948.2
"Jul 31, 2024",-20000
"Jul 25, 2024",123115
"Jul 24, 2024",52132
"Jul 22, 2024",-190000
"Jul 15, 2024",68257.88
"Jul 12, 2024",-94445.01
"Jul 11, 2024",-893
"Jun 27, 2024",-19500
"Jun 21, 2024",-9375
"Jun 6, 2024",214285.18
"Jun 4, 2024",-48325
"May 28, 2024",-44096.44
"May 10, 2024",-216669
"May 8, 2024",210625
"May 3, 2024",482296
"Apr 29, 2024",-35000
"Apr 26, 2024",309678.09
"Apr 22, 2024",-76226.65
"Apr 10, 2024",-65000
"Apr 8, 2024",-52652
"Mar 25, 2024",-8125
"Mar 22, 2024",-118125
"Mar 13, 2024",88277
"Mar 1, 2024",74975.15
"Feb 29, 2024",-40145
"Feb 26, 2024",-49691.23
"Feb 22, 2024",-125000
"Feb 14, 2024",40394
"Feb 2, 2024",-106306
"Jan 19, 2024",-15489
"Jan 16, 2024",85157
"Dec 29, 2023",-82899
"Dec 28, 2023",99667.43
"Dec 21, 2023",410
"Dec 18, 2023",-57500
"Dec 13, 2023",129089
"Nov 30, 2023",-305250
"Nov 27, 2023",-24000
"Nov 13, 2023",-28000
"Nov 3, 2023",-37500
"Nov 2, 2023",-12581
"Oct 27, 2023",-1125
"Oct 23, 2023",-49656.54
"Sep 26, 2023",20794
"Sep 20, 2023",-5625
"Sep 18, 2023",-50000
"Sep 12, 2023",124790
"Sep 8, 2023",-57263
"Sep 7, 2023",25489
"Aug 21, 2023",-83370.04
"Aug 17, 2023",51248.65
"Aug 14, 2023",81478
"Jul 25, 2023",-50964
"Jul 5, 2023",-10000
"Jun 30, 2023",-142737
"Jun 28, 2023",-28000
"Jun 21, 2023",-72688
"Jun 16, 2023",-50000
"Jun 14, 2023",30534.9
"Jun 2, 2023",-893
"Jun 1, 2023",-11004
"May 22, 2023",-46875
"May 18, 2023",40153.48
"Apr 24, 2023",-44164.87
"Apr 18, 2023",-15000
"Apr 14, 2023",-75000
"Apr 3, 2023",-25219
"Mar 13, 2023",-440086
"Mar 9, 2023",58992
"Feb 27, 2023",-46875
"Feb 10, 2023",41427.04
"Feb 1, 2023",38361.24
"Jan 27, 2023",-50000
"Jan 19, 2023",16887.24
"Jan 18, 2023",81228.17
"Dec 29, 2022",79146.51
"Dec 28, 2022",8589
"Dec 27, 2022",-4885.8
"Dec 19, 2022",-7031
"Dec 15, 2022",-93750
"Dec 13, 2022",30724.13
"Dec 12, 2022",-55119
"Dec 8, 2022",-50000
"Nov 30, 2022",147281
"Nov 16, 2022",157109.62
"Nov 14, 2022",-1125
"Oct 19, 2022",-15000
"Sep 30, 2022",-75000
"Sep 28, 2022",-6762
"Sep 27, 2022",-8438
"Sep 23, 2022",-77493
"Sep 15, 2022",122112.62
"Sep 6, 2022",-105975.24
"Aug 25, 2022",28300
"Aug 19, 2022",235690.24
"Aug 11, 2022",-75000
"Aug 5, 2022",-49000
"Aug 3, 2022",-10200
"Aug 2, 2022",-100000
"Jul 21, 2022",390351.6
"Jul 12, 2022",-41250
"Jul 11, 2022",-42837
"Jul 7, 2022",-19688
"Jun 28, 2022",77118.83
"Jun 17, 2022",-55037.29
"Jun 3, 2022",-121696
"May 25, 2022",-17940
"May 9, 2022",-571426.39
"May 5, 2022",-81822
"Apr 21, 2022",159052.82
"Apr 14, 2022",85823.39
"Apr 4, 2022",-194557
"Mar 31, 2022",14291
"Mar 23, 2022",-100417
"Mar 21, 2022",-356121
"Mar 11, 2022",173070.16
"Mar 7, 2022",-23857
"Feb 28, 2022",590197.5
"Feb 24, 2022",-115173
"Feb 22, 2022",-50000
"Feb 3, 2022",13460
"Feb 1, 2022",68937.65
"Jan 31, 2022",-18480.22
"Jan 20, 2022",29716
"Jan 18, 2022",-87500
"Jan 13, 2022",-250000
"Jan 10, 2022",-35020
"Jan 7, 2022",499605
"Dec 31, 2021",81572
"Dec 30, 2021",66889
"Dec 28, 2021",120939.58
"Dec 23, 2021",117932
"Dec 16, 2021",46208.55
"Dec 15, 2021",84301
"Dec 9, 2021",-500299.55
"Dec 6, 2021",-100000
"Nov 30, 2021",238992
"Nov 29, 2021",-48750
"Nov 24, 2021",-203580
"Nov 17, 2021",31384.88
"Nov 11, 2021",119329.15
"Nov 5, 2021",209516.15
"Oct 29, 2021",-242581
"Oct 13, 2021",418423.8905
"Oct 1, 2021",59373
"Sep 29, 2021",-69091.94
"Sep 28, 2021",-128125
"Sep 23, 2021",84995.52
"Sep 10, 2021",135952
"Aug 30, 2021",418561.173
"Aug 27, 2021",86972.16
"Aug 20, 2021",-228067
"Aug 13, 2021",67379.305
"Aug 10, 2021",207447.9
"Aug 2, 2021",-39375
"Jul 29, 2021",-122500
"Jul 26, 2021",171062
"Jul 19, 2021",26988.04
"Jul 12, 2021",84577
"Jul 6, 2021",130375.88
"Jul 2, 2021",-750000
"Jul 1, 2021",-87500
"Jun 25, 2021",-5523
"Jun 24, 2021",-28125
"Jun 23, 2021",68866.31
"Jun 18, 2021",-55833
"Jun 9, 2021",217443.13
"Jun 7, 2021",-180467
"Jun 4, 2021",-22500
"Jun 2, 2021",164816
"May 28, 2021",150203
"May 25, 2021",-9000
"May 24, 2021",297806.04
"May 20, 2021",173910.88
"May 14, 2021",78626
"May 13, 2021",112878
"May 11, 2021",-39876
"May 10, 2021",-750000
"May 5, 2021",170000
"May 4, 2021",87816.35
"Apr 30, 2021",-50000
"Apr 22, 2021",-8972
"Apr 13, 2021",-44096
"Apr 12, 2021",-125000
"Apr 9, 2021",108159.27
"Apr 8, 2021",755120
"Apr 5, 2021",507929.1
"Apr 1, 2021",-77500
"Mar 30, 2021",-12419
"Mar 26, 2021",740563.23
"Mar 19, 2021",-66667
"Mar 16, 2021",-286893
"Mar 15, 2021",122984.07
"Mar 11, 2021",86293
"Feb 26, 2021",173783.75
"Feb 16, 2021",245182.6
"Feb 15, 2021",-82500
"Feb 5, 2021",631791.92
"Feb 2, 2021",-87500
"Jan 25, 2021",-20367
"Jan 22, 2021",199558.28
"Jan 21, 2021",-72500
"Jan 20, 2021",491605
"Jan 11, 2021",146058
"Jan 5, 2021",-97438
"Dec 28, 2020",130128.8
"Dec 23, 2020",121855
"Dec 18, 2020",17037
"Dec 8, 2020",293650.1
"Dec 4, 2020",-280000
"Dec 2, 2020",-18000
"Nov 30, 2020",83389.5
"Nov 18, 2020",-124560
"Nov 17, 2020",-125000
"Nov 12, 2020",-67500
"Nov 10, 2020",77850.79
"Nov 6, 2020",-89285.75
"Oct 27, 2020",-56250
"Oct 21, 2020",74144.59
"Oct 14, 2020",-875
"Oct 7, 2020",-87500
"Oct 2, 2020",-27500
"Oct 1, 2020",58249.11
"Sep 28, 2020",773285
"Sep 17, 2020",345607
"Aug 28, 2020",-12500
"Aug 21, 2020",-33333
"Aug 18, 2020",-45000
"Aug 11, 2020",-155420
"Aug 10, 2020",70950
"Aug 6, 2020",174216.9
"Jul 28, 2020",-105000
"Jul 27, 2020",144104
"Jul 21, 2020",-87500
"Jul 17, 2020",-1500
"Jul 3, 2020",174543.02
"Jun 30, 2020",48850.78
"Jun 23, 2020",-63750
"Jun 22, 2020",370612
"Jun 16, 2020",324834.66
"Jun 8, 2020",-104200
"May 26, 2020",-93334
"May 22, 2020",25699
"May 18, 2020",-33333
"May 11, 2020",-5000
"May 8, 2020",-125000
"Apr 29, 2020",17845
"Apr 24, 2020",243720.07
"Apr 16, 2020",-94461
"Apr 6, 2020",-18157
"Mar 31, 2020",-15000
"Mar 19, 2020",-36809
"Mar 17, 2020",-52500
"Mar 9, 2020",-17108
"Mar 5, 2020",2192
"Mar 3, 2020",-56250
"Feb 19, 2020",81396
"Feb 14, 2020",-150000
"Feb 11, 2020",21443.24
"Feb 10, 2020",40901
"Jan 10, 2020",163415.33
"Dec 30, 2019",-25000
"Dec 20, 2019",-69030
"Dec 19, 2019",-15000
"Nov 20, 2019",112920.8
"Nov 13, 2019",-75000
"Nov 5, 2019",-93750
"Nov 4, 2019",-22500
"Oct 28, 2019",-36050
"Oct 25, 2019",561999
"Oct 18, 2019",42254.55
"Oct 16, 2019",-18000
"Oct 14, 2019",-20000
"Sep 30, 2019",-31967
"Sep 25, 2019",103497.16
"Sep 9, 2019",-26274
"Sep 4, 2019",107092.8
"Aug 30, 2019",-200000
"Aug 26, 2019",-48750
"Aug 23, 2019",29684
"Aug 6, 2019",20433
"Aug 5, 2019",-37500
"Jul 30, 2019",-87500
"Jul 12, 2019",-87500
"Jul 2, 2019",-28125
"Jun 25, 2019",79997.3
"Jun 24, 2019",22955.1
"Jun 21, 2019",185298.76
"Jun 20, 2019",87783.26
"Jun 18, 2019",57837.06
"Jun 17, 2019",26461.5
"Jun 6, 2019",-65000
"Jun 4, 2019",-26596
"May 30, 2019",48723
"May 23, 2019",-250000
"May 16, 2019",-18581
"May 15, 2019",-37500
"May 1, 2019",-18750
"Apr 29, 2019",21599
"Apr 15, 2019",221568.32
"Apr 4, 2019",-106132.6
"Mar 29, 2019",106267.08
"Mar 15, 2019",-112500
"Mar 13, 2019",130712.21
"Mar 8, 2019",145320.56
"Mar 6, 2019",-215000
"Mar 1, 2019",-31028
"Feb 26, 2019",199755.48
"Feb 21, 2019",574074.27
"Feb 15, 2019",-90000
"Feb 13, 2019",-20000
"Feb 7, 2019",368428
"Jan 8, 2019",63567.6
"Dec 31, 2018",5811.66
"Dec 28, 2018",-750000
"Dec 24, 2018",-172250
"Dec 21, 2018",1051
"Dec 19, 2018",105180
"Dec 18, 2018",7319
"Dec 14, 2018",17927
"Dec 3, 2018",-224006
"Nov 29, 2018",158595.6
"Nov 16, 2018",-18000
"Nov 6, 2018",163587.64
"Nov 2, 2018",2897
"Oct 24, 2018",-123080.4
"Oct 19, 2018",228702
"Oct 12, 2018",26248
"Oct 5, 2018",-50625
"Oct 2, 2018",-43750
"Sep 21, 2018",307623.1
"Sep 18, 2018",-12270
"Aug 31, 2018",-17297.26
"Aug 24, 2018",97544.65
"Aug 17, 2018",215072.49
"Aug 15, 2018",-18638.2
"Aug 6, 2018",-122857.3
"Aug 2, 2018",-23757
"Jul 30, 2018",-36000
"Jul 26, 2018",-105000
"Jul 16, 2018",-87500
"Jul 5, 2018",-25781
"Jul 3, 2018",-10912.5
"Jun 28, 2018",167867
"Jun 15, 2018",94749.2
"Jun 11, 2018",-180000
"Jun 4, 2018",-22163
"May 31, 2018",113501.84
"May 17, 2018",95306
"May 15, 2018",214907.83
"May 11, 2018",-26193.76
"May 9, 2018",714456.36
"Apr 27, 2018",-125000.1
"Apr 26, 2018",-76270.4
"Apr 13, 2018",-20000
"Apr 4, 2018",-67500
"Mar 28, 2018",-22163
"Mar 27, 2018",-90000
"Mar 26, 2018",-45000
"Mar 19, 2018",-88625
"Mar 16, 2018",384972.35
"Mar 13, 2018",105418.84
"Mar 8, 2018",-20501
"Feb 26, 2018",-31062.2
"Feb 15, 2018",-68571.45
"Jan 26, 2018",-180000
"Jan 17, 2018",-22163
"Dec 28, 2017",29044.35
"Dec 22, 2017",-26266.02
"Dec 21, 2017",151332.32
"Dec 20, 2017",-87500
"Nov 3, 2017",1010
"Oct 27, 2017",-113034.4
"Oct 16, 2017",-180000
"Oct 13, 2017",-30000
"Oct 6, 2017",-27787.6
"Oct 4, 2017",-87500
"Sep 27, 2017",-17730
"Sep 15, 2017",-69033.4
"Sep 11, 2017",-127500
"Aug 22, 2017",-122770
"Aug 17, 2017",-15985
"Aug 16, 2017",-50625
"Aug 9, 2017",138525.07
"Aug 8, 2017",183909
"Aug 7, 2017",-27000
"Aug 2, 2017",225986.91
"Jul 26, 2017",-90000
"Jul 24, 2017",-57095.8
"Jul 10, 2017",-44326
"Jun 29, 2017",-50625
"Jun 20, 2017",-87500
"Jun 16, 2017",-29878
"Jun 15, 2017",-36309
"Jun 7, 2017",1118425.83
"Jun 5, 2017",76888
"May 30, 2017",-26596
"May 25, 2017",2020
"May 19, 2017",10481.65
"May 11, 2017",207895
"May 1, 2017",-30000
"Apr 24, 2017",-250551
"Apr 18, 2017",-87500
"Mar 31, 2017",360678.44
"Mar 29, 2017",3030
"Mar 17, 2017",-105000
"Mar 10, 2017",-26596
"Feb 22, 2017",57768.6
"Feb 21, 2017",70424.24
"Feb 10, 2017",376732.96
"Jan 31, 2017",-37500
"Jan 30, 2017",-179363
"Jan 27, 2017",-90000
"Jan 26, 2017",-27000
"Jan 18, 2017",-22506
"Jan 5, 2017",-87500
"Dec 30, 2016",-30674
"Dec 28, 2016",16552.8
"Dec 22, 2016",60768
"Dec 20, 2016",-19249
"Dec 1, 2016",326555
"Nov 21, 2016",141287.69
"Nov 17, 2016",-52500
"Oct 31, 2016",96000
"Oct 28, 2016",-78000
"Oct 27, 2016",-33067
"Oct 17, 2016",-120000
"Sep 30, 2016",78642
"Sep 28, 2016",94051.95
"Sep 27, 2016",-99694
"Sep 26, 2016",-60000
"Sep 23, 2016",215927
"Sep 14, 2016",14097
"Sep 12, 2016",-52500
"Sep 6, 2016",-150000
"Aug 29, 2016",203342.4
"Aug 25, 2016",210577
"Aug 24, 2016",150312
"Aug 18, 2016",40898.05
"Aug 16, 2016",110692.28
"Jul 28, 2016",33750
"Jul 15, 2016",-29688
"Jul 6, 2016",-1500
"Jul 1, 2016",-25145
"Jun 28, 2016",182408
"Jun 27, 2016",-66974
"May 25, 2016",50491.05
"May 23, 2016",82507.62
"May 16, 2016",-75000
"May 10, 2016",38806
"May 9, 2016",-27000
"May 4, 2016",5585
"May 3, 2016",-35750
"Apr 22, 2016",-52500
"Apr 1, 2016",-150000
"Mar 31, 2016",6480
"Mar 24, 2016",-113385
"Mar 14, 2016",105135.4
"Mar 1, 2016",-18000
"Feb 3, 2016",-87500
"Jan 22, 2016",120000
"Jan 20, 2016",-225000
"Dec 23, 2015",33839
"Dec 17, 2015",83525
"Dec 8, 2015",-35156
"Dec 4, 2015",-39398.32
"Dec 2, 2015",31306
"Nov 30, 2015",-65625
"Nov 25, 2015",202857.35
"Nov 19, 2015",50895.6
"Nov 18, 2015",88307.01
"Nov 2, 2015",-87500
"Oct 29, 2015",-83785
"Oct 5, 2015",-26596
"Sep 30, 2015",-46675
"Sep 11, 2015",82584.81
"Sep 3, 2015",-25000
"Aug 20, 2015",68213.71
"Aug 11, 2015",86001.3
"Aug 10, 2015",-135594
"Aug 3, 2015",-36809
"Jul 21, 2015",-39375
"Jul 20, 2015",10315
"Jul 15, 2015",-180000
"Jul 10, 2015",-87500
"Jul 8, 2015",93105
"Jul 6, 2015",-75000
"Jun 26, 2015",-30000
"Jun 19, 2015",-66406
"Jun 5, 2015",34634
"Jun 3, 2015",93973.32
"Jun 1, 2015",73868.79
"May 29, 2015",-150000
"May 21, 2015",344499
"May 15, 2015",140094.43
"May 13, 2015",-52500
"May 12, 2015",47624.22
"Apr 30, 2015",-100833
"Apr 21, 2015",-87500
"Apr 10, 2015",-22500
"Apr 9, 2015",234691.68
"Apr 7, 2015",-26596
"Mar 31, 2015",220877
"Mar 25, 2015",-90000
"Mar 6, 2015",218611
"Feb 26, 2015",-51563
"Feb 18, 2015",49660.22
"Feb 13, 2015",41561
"Feb 9, 2015",-15000
"Feb 5, 2015",-120037
