Date,Amount
"Jan 20, 2015",-270000
"Jan 5, 2015",-87500
"Dec 24, 2014",3355
"Dec 22, 2014",527
"Dec 16, 2014",-31250
"Dec 15, 2014",-22163
"Dec 8, 2014",-67545
"Dec 5, 2014",-32500
"Nov 6, 2014",-18000
"Nov 4, 2014",-45000
"Oct 24, 2014",-35156
"Oct 20, 2014",-75000
"Oct 10, 2014",-225000
"Oct 7, 2014",-73750
"Oct 6, 2014",104836
"Sep 24, 2014",-24413
"Aug 29, 2014",-68986
"Aug 8, 2014",10342.11
"Aug 5, 2014",206253
"Aug 4, 2014",-87500
"Jul 31, 2014",416415.68
"Jul 29, 2014",-53694
"Jul 24, 2014",96375.4
"Jul 17, 2014",-31500
"Jul 15, 2014",-32500
"Jul 14, 2014",-50000
"Jul 7, 2014",-75000
"Jul 3, 2014",-35156
"Jul 2, 2014",-115000
"Jun 16, 2014",-37500
"Jun 2, 2014",-150000
"May 28, 2014",-65625
"May 21, 2014",78405
"May 14, 2014",-25000
"Apr 30, 2014",-150000
"Apr 16, 2014",-39063
"Apr 11, 2014",18958
"Apr 4, 2014",-22500
"Mar 31, 2014",14428
"Mar 25, 2014",-75000
"Mar 11, 2014",-104000
"Feb 19, 2014",148477.04
"Feb 18, 2014",42951
"Feb 5, 2014",-50000
"Jan 17, 2014",-150000
"Jan 8, 2014",-40000
"Jan 7, 2014",-37500
"Dec 30, 2013",91481
"Dec 23, 2013",238352
"Dec 11, 2013",38028.08
"Dec 5, 2013",162500
"Nov 25, 2013",-27000
"Nov 14, 2013",-2600
"Nov 7, 2013",-240625
"Oct 15, 2013",-62500
"Sep 26, 2013",179604.82
"Sep 11, 2013",-65625
"Aug 27, 2013",-90000
"Aug 26, 2013",-38802
"Aug 16, 2013",-12500
"Jul 26, 2013",17729.76
"Jul 15, 2013",-88500
"Jul 1, 2013",-65625
"Jun 27, 2013",-26157
"Jun 26, 2013",108333
"Jun 25, 2013",-80000
"Jun 21, 2013",-50000
"Jun 12, 2013",-28698
"May 21, 2013",-18000
"May 10, 2013",-52500
"May 7, 2013",27724.2
"Apr 26, 2013",-65625
"Mar 26, 2013",-147000
"Mar 8, 2013",-23438
"Feb 13, 2013",-27000
"Jan 31, 2013",16016.66
"Jan 22, 2013",-62500
"Dec 27, 2012",-10000
"Dec 19, 2012",167500
"Dec 11, 2012",138395.6
"Nov 15, 2012",-22500
"Nov 12, 2012",-23034
"Nov 6, 2012",-30000
"Oct 31, 2012",-60000
"Oct 15, 2012",-65625
"Sep 27, 2012",29700
"Sep 7, 2012",110396
"Sep 5, 2012",-72500
"Aug 23, 2012",60810.92
"Aug 1, 2012",-49500
"Jul 25, 2012",83094
"Jul 18, 2012",-72000
"Jul 16, 2012",-87500
"Jul 9, 2012",-27000
"Jul 5, 2012",-65625
"Jul 2, 2012",260476
"Jun 28, 2012",-25000
"Jun 19, 2012",-6250
"Jun 1, 2012",-60000
"May 25, 2012",-35000
"Apr 27, 2012",-43333
"Apr 19, 2012",-60000
"Apr 9, 2012",-62500
"Apr 5, 2012",-65625
"Mar 22, 2012",-39000
"Mar 16, 2012",-45000
"Mar 8, 2012",108338.16
"Mar 2, 2012",-75000
"Feb 21, 2012",-64750
"Jan 17, 2012",-27000
"Dec 29, 2011",-35000
"Dec 20, 2011",-65625
"Dec 19, 2011",-72000
"Nov 28, 2011",-5000
"Nov 15, 2011",119375
"Nov 10, 2011",-54167
"Nov 4, 2011",16159
"Oct 27, 2011",-150000
"Oct 25, 2011",-48000
"Oct 13, 2011",-18750
"Oct 1, 2011",-84375
"Sep 27, 2011",170289
"Sep 15, 2011",-42000
"Sep 8, 2011",-65625
"Aug 26, 2011",-75000
"Aug 25, 2011",-31475
"Aug 19, 2011",59021
"Jul 26, 2011",-65625
"Jul 12, 2011",-28750
"Jun 27, 2011",-150000
"Jun 17, 2011",-21250
"May 24, 2011",-34069
"May 23, 2011",-65625
"May 16, 2011",-25000
"May 12, 2011",76278
"May 9, 2011",210475
"Apr 19, 2011",-125000
"Apr 18, 2011",-90000
"Feb 15, 2011",-68139
"Jan 21, 2011",-28750
"Jan 10, 2011",-173958
"Dec 28, 2010",3776
"Dec 27, 2010",-8750
"Dec 14, 2010",-11565
"Nov 16, 2010",-11250
"Nov 15, 2010",-108333
"Nov 3, 2010",-12500
"Oct 15, 2010",-131250
"Oct 6, 2010",106406
"Oct 1, 2010",-146667
"Sep 27, 2010",-6300
"Sep 23, 2010",-34069
"Aug 30, 2010",25136
"Aug 24, 2010",32139
"Aug 13, 2010",-37500
"Jul 30, 2010",142748
"Jul 8, 2010",196391
"Jun 22, 2010",-105000
"Jun 18, 2010",-7500
"May 27, 2010",214167
"May 26, 2010",-33701
"Apr 22, 2010",-112500
"Apr 19, 2010",540869
"Apr 6, 2010",-3150
"Apr 1, 2010",-37500
"Mar 12, 2010",95824
"Mar 9, 2010",133343.36
"Mar 1, 2010",-17500
"Feb 23, 2010",-65319
"Jan 22, 2010",-75000
"Jan 19, 2010",333115
"Dec 30, 2009",-8750
"Dec 16, 2009",-6000
"Dec 1, 2009",-75000
"Nov 25, 2009",28084
"Nov 24, 2009",10499
"Nov 16, 2009",17263
"Oct 27, 2009",-34069
"Sep 23, 2009",89195
"Sep 18, 2009",-31250
"Sep 1, 2009",142253
"Aug 26, 2009",-37500
"Aug 10, 2009",-75000
"Jul 8, 2009",-43286
"Jun 18, 2009",-26250
"Jun 16, 2009",-3000
"May 28, 2009",68395
"May 20, 2009",215726
"May 15, 2009",-75000
"Apr 21, 2009",-9000
"Apr 3, 2009",-10000
"Mar 31, 2009",15093
"Mar 30, 2009",-23812
"Mar 13, 2009",-5000
"Mar 2, 2009",-14985
"Feb 27, 2009",-10000
"Feb 9, 2009",257360.84
"Jan 27, 2009",-15000
"Dec 11, 2008",-11700
"Nov 13, 2008",111007
"Nov 3, 2008",-52500
"Oct 31, 2008",-112500
"Oct 6, 2008",-75000
"Oct 3, 2008",9671
"Oct 2, 2008",-16600
"Sep 26, 2008",175774
"Sep 15, 2008",-50000
"Sep 10, 2008",145998
"Sep 5, 2008",138549
"Sep 3, 2008",29183
"Aug 22, 2008",-12500
"Aug 15, 2008",-3000
"Aug 11, 2008",66621
"Jul 2, 2008",-75000
"Jul 1, 2008",71254
"Jun 25, 2008",37728
"Jun 5, 2008",-12500
"Jun 4, 2008",172295
"May 29, 2008",-70500
"May 14, 2008",-12500
"May 9, 2008",-61707
"Apr 30, 2008",95539
"Apr 21, 2008",-81500
"Apr 14, 2008",-75000
"Apr 1, 2008",-75000
"Mar 20, 2008",-5000
"Feb 15, 2008",-75000
"Feb 11, 2008",-50000
"Feb 4, 2008",-5313
"Jan 8, 2008",43108
"Jan 3, 2008",-93218
"Dec 21, 2007",-10000
"Dec 19, 2007",-90000
"Dec 11, 2007",16584
"Dec 5, 2007",-14400
"Dec 3, 2007",100000
"Nov 29, 2007",140657
"Nov 28, 2007",-7500
"Nov 27, 2007",-36250
"Nov 16, 2007",-4500
"Oct 29, 2007",14922
"Oct 22, 2007",-78539
"Sep 28, 2007",192976
"Sep 7, 2007",-100000
"Aug 28, 2007",140858
"Aug 24, 2007",-104577
"Aug 23, 2007",-12500
"Aug 20, 2007",-15000
"Aug 15, 2007",-56000
"Jul 20, 2007",10848
"Jul 10, 2007",48047
"Jul 6, 2007",-75000
"Jul 5, 2007",-6000
"Jun 20, 2007",11751
"Jun 8, 2007",-15000
"May 18, 2007",40380
"May 1, 2007",-15000
"Apr 27, 2007",-30000
"Apr 19, 2007",81443
"Mar 29, 2007",-25000
"Mar 23, 2007",-150000
"Mar 5, 2007",-5405
"Feb 28, 2007",-50000
"Jan 18, 2007",-15000
"Dec 27, 2006",-87148
"Dec 26, 2006",-56000
"Dec 19, 2006",-11700
"Nov 29, 2006",-9300
"Nov 22, 2006",-20883
"Nov 8, 2006",-25000
"Nov 7, 2006",31091
"Oct 27, 2006",-75000
"Oct 19, 2006",-50000
"Oct 18, 2006",-10000
"Sep 26, 2006",-101250
"Sep 25, 2006",1283
"Sep 14, 2006",-105000
"Sep 1, 2006",-53900
"Aug 9, 2006",3046
"Jul 28, 2006",-10000
"Jul 26, 2006",199784
"Jul 25, 2006",-25000
"Jul 17, 2006",-92500
"Jul 7, 2006",-104577
"Jul 1, 2006",-12600
"Jun 27, 2006",-25000
"Jun 21, 2006",-75455
"Jun 9, 2006",118412
"May 10, 2006",74000
"May 9, 2006",40573
"May 1, 2006",-75000
"Apr 27, 2006",-21250
"Apr 11, 2006",-50000
"Mar 8, 2006",-20000
"Mar 1, 2006",-25000
"Feb 10, 2006",-21250
"Jan 30, 2006",-197077
"Jan 23, 2006",-24482
"Jan 20, 2006",15191
"Jan 10, 2006",-35000
"Jan 5, 2006",-75000
"Dec 16, 2005",4052
"Dec 15, 2005",-30000
"Nov 22, 2005",1544
"Nov 16, 2005",244095
"Nov 1, 2005",-104577
"Oct 24, 2005",-47000
"Oct 21, 2005",-22500
"Oct 11, 2005",-21250
"Sep 29, 2005",23223
"Sep 26, 2005",-92500
"Sep 2, 2005",-75000
"Aug 26, 2005",-39784
"Aug 18, 2005",-20000
"Aug 1, 2005",-40000
"Jul 26, 2005",-15000
"Jul 22, 2005",12116
"Jun 28, 2005",47053
"Jun 27, 2005",-104577
"Jun 24, 2005",-75000
"Jun 8, 2005",-22500
"Jun 1, 2005",-10000
"May 23, 2005",-31250
"May 20, 2005",39438
"May 6, 2005",1746
"Apr 25, 2005",-70500
"Apr 7, 2005",14614
"Mar 29, 2005",-24482
"Mar 24, 2005",-92500
"Mar 10, 2005",-43750
"Mar 4, 2005",-100000
"Feb 22, 2005",4886
"Feb 2, 2005",-104577
"Jan 28, 2005",-66400
"Jan 25, 2005",1200
"Jan 7, 2005",-7500
"Dec 29, 2004",16896
"Dec 22, 2004",3284
"Dec 20, 2004",-16250
"Dec 6, 2004",-21422
"Nov 24, 2004",13849.32
"Nov 23, 2004",13636
"Nov 18, 2004",1469
"Nov 11, 2004",-10000
"Nov 10, 2004",-122007
"Nov 2, 2004",-40000
"Oct 1, 2004",-50000
"Sep 29, 2004",-10000
"Sep 13, 2004",36534
"Sep 7, 2004",-100000
"Aug 16, 2004",-138750
"Aug 4, 2004",-15000
"Jul 26, 2004",-87148
"Jun 30, 2004",3000
"Jun 28, 2004",-12928.39
"Jun 26, 2004",57541
"Jun 17, 2004",-26318
"Jun 2, 2004",-43750
"May 28, 2004",-87148
"May 14, 2004",-31250
"May 4, 2004",-70659
"May 3, 2004",298
"Apr 12, 2004",-17820
"Mar 31, 2004",-245318
"Mar 25, 2004",765.45
"Mar 15, 2004",-30000
"Mar 12, 2004",-25000
"Mar 1, 2004",71586
"Feb 12, 2004",-18750
"Jan 30, 2004",-87148
"Jan 29, 2004",-7128
"Dec 22, 2003",26172.45
"Dec 12, 2003",-70500
"Dec 2, 2003",-112500
"Nov 17, 2003",-25000
"Oct 21, 2003",-31250
"Oct 7, 2003",77615.55
"Sep 25, 2003",-19586
"Sep 17, 2003",-25000
"Sep 15, 2003",-87500
"Jul 28, 2003",-94184.55
"Jul 18, 2003",40905
"Jul 14, 2003",-31250
"Jun 2, 2003",-87500
"May 23, 2003",-13771
"May 14, 2003",-62500
"May 12, 2003",25288.2
"May 9, 2003",159023.325
"Apr 10, 2003",18380.25
"Mar 28, 2003",6272.1
"Mar 14, 2003",38920.5
"Mar 11, 2003",1341.2
"Feb 3, 2003",-112500
"Jan 27, 2003",-117500
"Dec 9, 2002",-37500
"Oct 24, 2002",-87500
"Oct 1, 2002",-112500
"Sep 9, 2002",33105
"Jul 12, 2002",-117500
"Jun 25, 2002",-25000
"Jun 18, 2002",-17240
"May 15, 2002",-62500
"Mar 2, 2002",-26730
"Feb 25, 2002",21986.1
"Feb 19, 2002",-90000
"Jan 15, 2002",-175000
"Jan 7, 2002",-60000
"Dec 31, 2001",-17964
"Dec 7, 2001",-117500
"Dec 6, 2001",15452.1
"Oct 1, 2001",-23760
"Jul 11, 2001",-13068
"Jun 6, 2001",-235000
"May 31, 2001",-112522.5
"May 25, 2001",36416.25
"May 22, 2001",24343.2
"Apr 17, 2001",266700.6
"Mar 31, 2001",-3797.55
"Mar 28, 2001",14183.1
"Mar 8, 2001",392324.85
"Mar 2, 2001",-5940
"Feb 28, 2001",-235000
"Feb 16, 2001",702442.8
"Feb 15, 2001",106101.325
"Feb 7, 2001",972630.45
"Jan 31, 2001",328206.6
"Jan 19, 2001",182335.05
"Dec 20, 2000",-23760
"Dec 18, 2000",-235000
"Dec 15, 2000",478337.4
"Dec 14, 2000",329285.25
"Dec 13, 2000",1065015
"Dec 5, 2000",496677.15
"Nov 21, 2000",-18414
"Nov 20, 2000",-75000
"Oct 24, 2000",1203426.45
"Oct 13, 2000",-188723
"Sep 26, 2000",362017.35
"Sep 14, 2000",-67500
"Sep 8, 2000",566256.15
"Aug 23, 2000",427871.7
"Aug 21, 2000",2257256.7
"Aug 18, 2000",456942.6
"Aug 17, 2000",-235000
"Aug 11, 2000",-17820
"Aug 10, 2000",4316252.4
"Aug 1, 2000",116010.9
"Jul 21, 2000",289259.1
"Jul 18, 2000",2026046.25
"Jul 14, 2000",61322.4
"Jul 11, 2000",1820151
"Jun 30, 2000",-14689.85
"Jun 29, 2000",98755.2
"Jun 22, 2000",1087396.65
"Jun 15, 2000",28062.45
"May 22, 2000",36404.1
"May 3, 2000",221968.35
"Apr 27, 2000",275375.7
"Apr 25, 2000",267073.2
"Apr 24, 2000",305178.3
"Apr 12, 2000",-235000
"Mar 29, 2000",-23760
"Mar 13, 2000",868052.7
"Mar 7, 2000",410913
"Feb 29, 2000",1042659
"Feb 28, 2000",171450
"Feb 24, 2000",952956.9
"Feb 23, 2000",370087.65
"Feb 22, 2000",594726.3
"Feb 16, 2000",-235000
"Feb 11, 2000",1060384.5
"Feb 10, 2000",318539.25
"Feb 9, 2000",279255.6
"Jan 24, 2000",833384.7
"Jan 14, 2000",-235000
"Dec 16, 1999",-67500
"Nov 22, 1999",-44955
"Oct 29, 1999",13586.4
"Oct 27, 1999",374911.2
"Oct 22, 1999",40618.8
"Oct 21, 1999",429628.05
"Sep 29, 1999",-67500
"Aug 12, 1999",-67500
"Jul 27, 1999",21748.5
"Jul 1, 1999",-45000
"Jun 18, 1999",498738.6
"Jun 4, 1999",131446.8
"May 25, 1999",-67500
"May 6, 1999",317532.15
"Apr 7, 1999",69878.7
"Apr 1, 1999",-30000
"Mar 30, 1999",-67500
"Mar 17, 1999",61007.85
"Feb 11, 1999",-67500
"Oct 21, 1998",-33750
"Aug 26, 1998",-67500
"Aug 4, 1998",70324.2
"Jul 8, 1998",6664.95
"Jun 30, 1998",-67500
"Mar 6, 1998",-67500
"Mar 2, 1998",-67500
"Feb 25, 1998",27778.95
"Feb 10, 1998",35336.25
"Feb 6, 1998",158774.85
"Jan 14, 1998",9201.6
"Jan 8, 1998",-67500
"Oct 6, 1997",-67500
"Sep 10, 1997",99817.65
"Aug 13, 1997",56695.95
"Jun 23, 1997",-67500
"May 19, 1997",-67500
"Apr 17, 1997",7341.3
"Mar 26, 1997",-67500
"Feb 3, 1997",15387.3
"Aug 1, 1996",-67500
"Jul 29, 1996",294042.15
"May 8, 1996",-67500
"Apr 25, 1996",146834.1
"Apr 15, 1996",-33750
"Feb 9, 1996",-33750
"Sep 6, 1995",-33750
"Jul 5, 1995",-33750